date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2

2004-01-02,2004,0,,DET,PHO,1555.8445,1453.1169,0.762601214603223,0.23739878539677695,1560.5984,1448.363,,,,,,,,,,,93,81
2004-01-02,2004,0,,POR,DEN,1520.5552,1473.9871,0.6992468093680599,0.30075319063194006,1504.1145,1490.4277,,,,,,,,,,,96,106
2004-01-02,2004,0,,WAS,GSW,1362.5308,1467.9661,0.4921786125763384,0.5078213874236617,1378.067,1452.4298,,,,,,,,,,,97,79
2004-01-02,2004,0,,TOR,NOP,1436.8896,1534.6488,0.5032247257103449,0.49677527428965507,1425.1573,1546.3811,,,,,,,,,,,74,86
2004-01-02,2004,0,,MEM,UTA,1497.9187,1524.9989,0.6034258451475557,0.3965741548524443,1506.6393,1516.2783,,,,,,,,,,,100,88
2004-01-02,2004,0,,MIA,ORL,1408.006,1395.3713,0.6566447323083869,0.34335526769161306,1414.9425,1388.4348,,,,,,,,,,,112,101
2004-01-02,2004,0,,MIL,DAL,1508.7059,1604.1476,0.5065595446573254,0.49344045534267456,1517.6335,1595.22,,,,,,,,,,,109,101
2004-01-02,2004,0,,NJN,CLE,1573.2206,1367.7416,0.8530189980204932,0.1469810019795068,1576.4011,1364.561,,,,,,,,,,,97,82
2004-01-02,2004,0,,BOS,IND,1483.4036,1567.5233,0.5228376872423144,0.4771623127576856,1470.4263,1580.5006,,,,,,,,,,,90,103
2004-01-02,2004,0,,NYK,CHI,1493.6689,1365.3861,0.7881986643162121,0.2118013356837879,1480.0966,1378.9585,,,,,,,,,,,99,104
2004-01-02,2004,0,,SEA,LAL,1513.9678,1632.2251,0.4737497909662845,0.5262502090337156,1519.1287,1627.0642,,,,,,,,,,,111,109
2004-01-02,2004,0,,MIN,ATL,1630.2446,1376.3634,0.8846380436957717,0.1153619563042283,1632.9833,1373.6248,,,,,,,,,,,93,75
2004-01-03,2004,0,,SAS,PHI,1705.4485,1475.2539,0.8699767163852496,0.13002328361475035,1687.1639,1493.5385,,,,,,,,,,,77,83
2004-01-03,2004,0,,DET,GSW,1560.5984,1452.4298,0.7682248579965446,0.2317751420034554,1563.6711,1449.3571,,,,,,,,,,,99,93
2004-01-03,2004,0,,IND,NOP,1580.5006,1546.3811,0.6839650267329942,0.3160349732670058,1585.3029,1541.5789,,,,,,,,,,,91,84
2004-01-03,2004,0,,DEN,ATL,1490.4277,1373.6248,0.7769565467206623,0.22304345327933772,1473.3588,1390.6937,,,,,,,,,,,76,84
2004-01-03,2004,0,,HOU,UTA,1555.554,1516.2783,0.6903455725739507,0.3096544274260493,1564.9976,1506.8347,,,,,,,,,,,84,63
2004-01-03,2004,0,,DAL,MIN,1595.22,1632.9833,0.5886199495215861,0.41138005047841386,1601.8134,1626.3899,,,,,,,,,,,119,112
2004-01-03,2004,0,,CHI,BOS,1378.9585,1470.4263,0.512276355064351,0.487723644935649,1367.5992,1481.7855,,,,,,,,,,,77,88
2004-01-03,2004,0,,MEM,ORL,1506.6393,1388.4348,0.7783516111754301,0.22164838882456994,1510.313,1384.7611,,,,,,,,,,,112,103
2004-01-03,2004,0,,LAC,SAC,1456.0474,1650.1357,0.3678117878634789,0.6321882121365211,1450.292,1655.8911,,,,,,,,,,,109,116
2004-01-04,2004,0,,NYK,NJN,1480.0966,1576.4011,0.5053180514555178,0.4946819485444822,1469.5775,1586.9202,,,,,,,,,,,85,95
2004-01-04,2004,0,,LAC,LAL,1450.292,1627.0642,0.39127968261245,0.60872031738755,1457.5436,1619.8126,,,,,,,,,,,101,98
2004-01-04,2004,0,,SAC,SEA,1655.8911,1519.1287,0.7962328798887675,0.20376712011123255,1663.564,1511.4558,,,,,,,,,,,130,99
2004-01-04,2004,0,,TOR,PHO,1425.1573,1448.363,0.6087506176966447,0.39124938230335526,1432.8077,1440.7126,,,,,,,,,,,83,73
2004-01-04,2004,0,,WAS,MIL,1378.067,1517.6335,0.4433041140927096,0.5566958859072904,1371.4215,1524.2791,,,,,,,,,,,94,100
2004-01-05,2004,0,,UTA,DAL,1506.8347,1601.8134,0.5072257284984676,0.4927742715015324,1519.4598,1589.1882,,,,,,,,,,,108,94
2004-01-05,2004,0,,BOS,DET,1481.7855,1563.6711,0.526045121816458,0.473954878183542,1470.7069,1574.7498,,,,,,,,,,,68,78
2004-01-05,2004,0,,MIA,IND,1414.9425,1585.3029,0.40010514564432015,0.5998948543556799,1401.6774,1598.568,,,,,,,,,,,65,87
2004-01-05,2004,0,,HOU,GSW,1564.9976,1449.3571,0.7757948267142789,0.2242051732857211,1570.8223,1443.5323,,,,,,,,,,,83,65
2004-01-05,2004,0,,CHI,PHO,1367.5992,1440.7126,0.5386158738541226,0.4613841261458774,1373.9564,1434.3555,,,,,,,,,,,87,82
2004-01-05,2004,0,,SEA,POR,1511.4558,1504.1145,0.6497421952323812,0.3502578047676188,1518.5594,1497.0109,,,,,,,,,,,119,108
2004-01-05,2004,0,,PHI,MIL,1493.5385,1524.2791,0.5983726748062935,0.4016273251937065,1478.796,1539.0215,,,,,,,,,,,76,88
