date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2
2014-10-28,2015,0,,LAL,HOU,1421.9985,1596.4641,0.3944467264809515,0.6055532735190485,1410.6588,1607.8038,,,,,,,,,,,90,108
2014-10-28,2015,0,,NOP,ORL,1457.2185,1359.4265,0.7574192482328314,0.24258075176716865,1463.354,1353.291,,,,,,,,,,,101,84
2014-10-28,2015,0,,SAS,DAL,1699.5024,1592.0101,0.7675309474544234,0.2324690525455766,1701.1141,1590.3984,,,,,,,,,,,101,100
2014-10-29,2015,0,,POR,OKC,1567.8318,1619.7805,0.5687138256711358,0.4312861743288642,1579.9985,1607.6138,,,,,,,,,,,106,89
2014-10-29,2015,0,,SAC,GSW,1431.1567,1590.7976,0.4150030853869351,0.5849969146130649,1419.0911,1602.8633,,,,,,,,,,,77,95
2014-10-29,2015,0,,MEM,MIN,1578.4064,1513.3354,0.721160437096933,0.278839562903067,1581.522,1510.2198,,,,,,,,,,,105,101
2014-10-29,2015,0,,MIA,WAS,1579.3748,1541.4388,0.6886945883617835,0.31130541163821646,1585.8995,1534.9141,,,,,,,,,,,107,95
2014-10-29,2015,0,,BOS,BRK,1378.5464,1518.2666,0.4430857769989077,0.5569142230010923,1394.7191,1502.0939,,,,,,,,,,,121,105
2014-10-29,2015,0,,NYK,CHI,1534.4419,1547.2185,0.6229523012438865,0.37704769875611355,1509.5001,1572.1603,,,,,,,,,,,80,104
2014-10-29,2015,0,,DEN,DET,1473.0493,1389.2994,0.7422602276982232,0.2577397723017768,1477.7131,1384.6356,,,,,,,,,,,89,79
2014-10-29,2015,0,,UTA,HOU,1373.317,1607.8038,0.3155781201294808,0.6844218798705193,1367.0422,1614.0786,,,,,,,,,,,93,104
2014-10-29,2015,0,,TOR,ATL,1550.7469,1490.1147,0.7159933595794887,0.28400664042051127,1554.9813,1485.8804,,,,,,,,,,,109,102
2014-10-29,2015,0,,CHO,MIL,1511.0031,1317.8491,0.8438990645943165,0.15610093540568348,1512.225,1316.6272,,,,,,,,,,,108,106
2014-10-29,2015,0,,IND,PHI,1532.6748,1316.4243,0.860624219139554,0.139375780860446,1535.2634,1313.8357,,,,,,,,,,,103,91
2014-10-29,2015,0,,PHO,LAL,1560.1208,1410.6588,0.807837368045626,0.192162631954374,1565.3689,1405.4108,,,,,,,,,,,119,99
2014-10-30,2015,0,,CLE,NYK,1463.7213,1509.5001,0.5774032099538376,0.42259679004616235,1455.226,1517.9955,,,,,,,,,,,90,95
2014-10-30,2015,0,,LAC,OKC,1630.6335,1607.6138,0.6699940878668039,0.3300059121331961,1633.9928,1604.2545,,,,,,,,,,,93,90
2014-10-30,2015,0,,MIN,DET,1510.2198,1384.6356,0.7855937195000194,0.21440628049998056,1513.0288,1381.8267,,,,,,,,,,,97,91
2014-10-30,2015,0,,DAL,UTA,1590.3984,1367.0422,0.8654586387906542,0.1345413612093458,1593.6544,1363.7863,,,,,,,,,,,120,102
2014-10-30,2015,0,,ORL,WAS,1353.291,1534.9141,0.3846493013857754,0.6153506986142245,1347.2158,1540.9893,,,,,,,,,,,98,105
2014-10-31,2015,0,,MIL,PHI,1316.6272,1313.8357,0.6437586501769748,0.35624134982302524,1324.2878,1306.175,,,,,,,,,,,93,81
2014-10-31,2015,0,,SAC,POR,1419.0911,1579.9985,0.413234219803587,0.586765780196413,1431.0991,1567.9905,,,,,,,,,,,103,94
2014-10-31,2015,0,,IND,MEM,1535.2634,1581.522,0.5767291261262807,0.4232708738737193,1524.3203,1592.4651,,,,,,,,,,,89,97
2014-10-31,2015,0,,LAL,LAC,1405.4108,1633.9928,0.3229653325710643,0.6770346674289357,1400.4835,1638.92,,,,,,,,,,,111,118
2014-10-31,2015,0,,CHI,CLE,1572.1603,1455.226,0.7770875995139717,0.22291240048602834,1557.6185,1469.7677,,,,,,,,,,,108,114
2014-10-31,2015,0,,PHO,SAS,1565.3689,1701.1141,0.44873925790494945,0.5512607420950506,1573.3562,1693.1268,,,,,,,,,,,94,89
2014-11-01,2015,0,,UTA,PHO,1363.7863,1573.3562,0.3473438870561168,0.6526561129438833,1392.7725,1544.37,,,,,,,,,,,118,91
2014-11-01,2015,0,,GSW,LAL,1602.8633,1400.4835,0.8507680915117235,0.1492319084882765,1607.2056,1396.1412,,,,,,,,,,,127,104
2014-11-01,2015,0,,NOP,DAL,1463.354,1593.6544,0.45650443695077936,0.5434955630492206,1457.0809,1599.9275,,,,,,,,,,,104,109
2014-11-01,2015,0,,OKC,DEN,1604.2545,1477.7131,0.7865203570759121,0.21347964292408794,1608.2346,1473.733,,,,,,,,,,,102,91
2014-11-01,2015,0,,HOU,BOS,1614.0786,1394.7191,0.8627571257186248,0.13724287428137516,1616.8905,1391.9072,,,,,,,,,,,104,90
2014-11-01,2015,0,,DET,BRK,1381.8267,1502.0939,0.47086619282838893,0.5291338071716111,1371.0433,1512.8772,,,,,,,,,,,90,102
2014-11-01,2015,0,,ATL,IND,1485.8804,1524.3203,0.5876765073777349,0.4123234926222651,1494.0365,1516.1642,,,,,,,,,,,102,92
2014-11-01,2015,0,,MIN,CHI,1513.0288,1557.6185,0.5790725612168989,0.4209274387831011,1508.1306,1562.5167,,,,,,,,,,,105,106
2014-11-01,2015,0,,WAS,MIL,1540.9893,1324.2878,0.8609353380857142,0.1390646619142858,1543.4327,1321.8444,,,,,,,,,,,108,97
2014-11-01,2015,0,,ORL,TOR,1347.2158,1554.9813,0.34970228915895313,0.6502977108410468,1339.3263,1562.8708,,,,,,,,,,,95,108
2014-11-01,2015,0,,CHO,MEM,1512.225,1592.4651,0.5284061610449838,0.47159383895501616,1507.0366,1597.6534,,,,,,,,,,,69,71
2014-11-01,2015,0,,PHI,MIA,1306.175,1585.8995,0.26219764521646866,0.7378023547835313,1299.1923,1592.8823,,,,,,,,,,,96,114
2014-11-02,2015,0,,MIA,TOR,1592.8823,1562.8708,0.6788313526984635,0.3211686473015365,1596.9768,1558.7764,,,,,,,,,,,107,102
